6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 104.0, u'$a': 13.0}
30 | 30 | (30.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 88.0, u'$a': 11.0}
15 | 15 | (15.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 88.0, u'$a': 11.0}
5 | 5 | (5.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 88.0, u'$a': 11.0}
10 | 10 | (10.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 88.0, u'$a': 11.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 88.0, u'$a': 11.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 130.0, u'$a': 13.0}
5 | 5 | (5.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 78.0, u'$a': 13.0}
12 | 12 | (12.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 78.0, u'$a': 13.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 78.0, u'$a': 13.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 88.0, u'$a': 11.0}
3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 2.0, u'$b': 44.0, u'$a': 11.0}
5 | 5 | (5.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 96.0, u'$a': 12.0}
(3!)/(3!2!) | (('/', (0, 10)), (('!', (1, 2)), 3), (('*', (6, 9)), (('!', (6, 7)), 3), (('!', (8, 9)), 2))) | (('/', 0, (0, 10)), (('!', 6, (1, 2)), (3.0,)), (('*', 12, (6, 9)), (('!', 6, (6, 7)), (3.0,)), (('!', 2, (8, 9)), (2.0,)))) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 96.0, u'$a': 12.0}
(3!)/((3!)(2!)) | (('/', (0, 14)), (('!', (1, 2)), 3), (('*', (6, 13)), (('!', (7, 8)), 3), (('!', (11, 12)), 2))) | (('/', 0, (0, 14)), (('!', 6, (1, 2)), (3.0,)), (('*', 12, (6, 13)), (('!', 6, (7, 8)), (3.0,)), (('!', 2, (11, 12)), (2.0,)))) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 96.0, u'$a': 12.0}
(5!)/((3!)(2!)) | (('/', (0, 14)), (('!', (1, 2)), 5), (('*', (6, 13)), (('!', (7, 8)), 3), (('!', (11, 12)), 2))) | (('/', 10, (0, 14)), (('!', 120, (1, 2)), (5.0,)), (('*', 12, (6, 13)), (('!', 6, (7, 8)), (3.0,)), (('!', 2, (11, 12)), (2.0,)))) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 96.0, u'$a': 12.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 96.0, u'$a': 12.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 78.0, u'$a': 13.0}
3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 66.0, u'$a': 11.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 96.0, u'$a': 12.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 2.0, u'$b': 44.0, u'$a': 11.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 104.0, u'$a': 13.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 88.0, u'$a': 11.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 72.0, u'$a': 12.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 88.0, u'$a': 11.0}
12 | 12 | (12.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 140.0, u'$a': 14.0}
8 | 8 | (8.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 140.0, u'$a': 14.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 140.0, u'$a': 14.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 84.0, u'$a': 14.0}
3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 60.0, u'$a': 10.0}
